Generation,Ticks,Hunger,Violence,Laziness,Metabolism,Style
1,57,0.5001225,0.4998815,0.500186,0.4996035,0.4998445
2,56,0.500635,0.5006505,0.499813,0.499695,0.501277
3,57,0.500867,0.500444,0.499841,0.4995265,0.5026935
4,57,0.501059,0.5012365,0.5002535,0.4994835,0.503735
5,57,0.50159,0.501003,0.501011,0.499283,0.505814
6,55,0.5018535,0.5002785,0.501017,0.499254,0.50803
7,56,0.5016995,0.500356,0.5015285,0.4990165,0.5107595
8,57,0.5019585,0.499909,0.5019785,0.49949,0.5135275
9,56,0.501297,0.49942,0.502005,0.49982,0.516105
10,56,0.501584,0.499366,0.50242,0.4994045,0.517641
11,56,0.5026905,0.499133,0.502098,0.4996395,0.520182
12,56,0.50274,0.4993655,0.5022595,0.499076,0.52216
13,56,0.5032035,0.499432,0.5025165,0.4990335,0.524362
14,56,0.504454,0.4997735,0.503113,0.498847,0.525995
15,55,0.5050715,0.4998665,0.502933,0.4992045,0.52813
16,59,0.5058015,0.5000305,0.502362,0.49837,0.530029
17,55,0.505877,0.4996815,0.502329,0.497757,0.532248
18,56,0.505829,0.5005225,0.5022625,0.4974155,0.5347345
19,57,0.5049,0.499644,0.5018175,0.4976545,0.536001
20,55,0.505082,0.499928,0.5024725,0.497315,0.537853
21,56,0.504751,0.500629,0.502487,0.496679,0.539515
22,56,0.504101,0.5012765,0.502475,0.4964855,0.5409585
23,57,0.50398,0.5014575,0.5027395,0.4962465,0.5423615
24,56,0.503637,0.5007915,0.5030815,0.496535,0.5432735
25,56,0.503612,0.5009495,0.5030535,0.4959985,0.545425
26,59,0.5038045,0.5013105,0.5031575,0.4960735,0.5472855
27,57,0.504162,0.5018135,0.5035415,0.4961495,0.549147
28,54,0.5050795,0.502094,0.503307,0.4962185,0.550539
29,54,0.505218,0.502375,0.502411,0.496238,0.5509635
30,55,0.50429,0.5026625,0.5021585,0.496696,0.551533
31,54,0.50517,0.502338,0.5021055,0.4966985,0.551632
32,55,0.505028,0.502393,0.5010875,0.497704,0.552322
33,54,0.504761,0.502916,0.500076,0.4978355,0.5533535
34,56,0.5051055,0.5034685,0.499687,0.498131,0.5543635
35,55,0.505081,0.5040235,0.4998895,0.498441,0.555012
36,56,0.5045215,0.5045315,0.4997605,0.4988425,0.5561025
37,56,0.5052635,0.5042275,0.4999125,0.499553,0.5568455
38,57,0.504378,0.5046225,0.499888,0.500694,0.55833
39,55,0.5039,0.505885,0.5001595,0.50172,0.559354
40,56,0.5035405,0.5062845,0.499627,0.502862,0.560476
41,55,0.502711,0.5058625,0.500015,0.5037485,0.5614045
42,57,0.503179,0.5063285,0.4995955,0.5046065,0.561609
43,58,0.502566,0.506519,0.499743,0.5055155,0.5625835
44,57,0.5020385,0.507631,0.498981,0.5069225,0.563874
45,57,0.5016125,0.508557,0.4994545,0.5079345,0.564946
46,57,0.501589,0.509406,0.499832,0.5095845,0.5662825
47,58,0.5005435,0.510255,0.5003415,0.5115195,0.567656
48,55,0.5006715,0.5107295,0.500367,0.5121725,0.5687955
49,57,0.500804,0.510386,0.5006025,0.5129205,0.569795
50,55,0.4997305,0.510288,0.500809,0.5136455,0.5710585
51,55,0.4997305,0.51074,0.5010965,0.51467,0.5722225
52,56,0.4993575,0.510961,0.5014335,0.5148965,0.57298
53,57,0.4994115,0.510881,0.502585,0.515462,0.573404
54,55,0.4987915,0.5106825,0.503138,0.5156645,0.574431
55,56,0.49907,0.510039,0.5035865,0.5154985,0.574932
56,56,0.4984815,0.510974,0.503358,0.51621,0.5750245
57,57,0.4978895,0.5114275,0.5031305,0.516994,0.5755095
58,58,0.4988025,0.511229,0.5032115,0.5169405,0.5764165
59,57,0.498862,0.5116885,0.503122,0.517087,0.5773855
60,54,0.499137,0.5119475,0.502921,0.5174715,0.577148
61,56,0.499308,0.512103,0.503333,0.517154,0.5778755
62,57,0.4996255,0.5123215,0.503278,0.517431,0.578815
63,59,0.4991465,0.5123275,0.5033755,0.5177145,0.5789545
64,57,0.4990385,0.512362,0.503114,0.518034,0.5795245
65,59,0.4994675,0.512319,0.5036495,0.5183855,0.579853
66,58,0.499922,0.5128165,0.5036905,0.518205,0.5811065
67,59,0.499601,0.5127165,0.5028065,0.5182095,0.581546
68,58,0.499562,0.5126385,0.5028075,0.518536,0.5822405
69,57,0.499996,0.51205,0.503122,0.5185985,0.582737
70,57,0.499825,0.5114935,0.502766,0.5180775,0.584493
71,58,0.5001245,0.511361,0.5026325,0.5178045,0.5846675
72,55,0.5010735,0.5111025,0.502358,0.5173355,0.585246
73,55,0.5005355,0.5107365,0.502296,0.517234,0.586232
74,56,0.501004,0.511335,0.501872,0.516927,0.5868225
75,57,0.500788,0.5111545,0.5015655,0.5172915,0.5873525
76,58,0.5006905,0.5108695,0.502002,0.516957,0.588007
77,57,0.500645,0.5109795,0.502115,0.518482,0.5888245
78,57,0.501426,0.5111605,0.5017885,0.5182335,0.5898875
79,58,0.502051,0.5107915,0.502085,0.5185635,0.5901235
80,57,0.501787,0.510699,0.501463,0.518812,0.5901195
81,58,0.5021515,0.510447,0.502088,0.519907,0.590548
82,58,0.5013345,0.510103,0.501353,0.5202535,0.5913005
83,57,0.5025365,0.51033,0.5005345,0.5206135,0.592273
84,58,0.502605,0.5113055,0.500741,0.520963,0.59303
85,58,0.503057,0.511174,0.500342,0.5223575,0.593995
86,57,0.503559,0.5103055,0.5002745,0.523291,0.5951205
87,57,0.504188,0.5109585,0.5011595,0.5235545,0.596228
88,61,0.504748,0.511233,0.5014425,0.524036,0.5973835
89,57,0.505321,0.512163,0.501749,0.5249045,0.5985605
90,59,0.5057605,0.5122625,0.5019,0.525253,0.598998
91,57,0.506176,0.5115715,0.5017925,0.525716,0.600412
92,59,0.5064215,0.5116705,0.5019325,0.5266635,0.6009695
93,59,0.5065805,0.5117135,0.50211,0.527131,0.6019115
94,58,0.506514,0.5116565,0.502532,0.528038,0.603236
95,60,0.506971,0.5116715,0.502653,0.5291355,0.6039105
96,60,0.5059125,0.511743,0.503393,0.531021,0.605197
97,58,0.504899,0.5119035,0.5032755,0.5329765,0.6064615
98,61,0.5043395,0.5131905,0.5036995,0.5330785,0.607898
99,60,0.503816,0.513547,0.503339,0.5341935,0.609488
100,60,0.5034685,0.514593,0.5033455,0.535735,0.61074
101,59,0.502449,0.5141675,0.5033515,0.535547,0.612135
102,59,0.502643,0.514692,0.5027515,0.5362225,0.6129445
103,60,0.5009945,0.5143025,0.5032635,0.536681,0.6139825
104,60,0.499689,0.5142525,0.5032,0.5366595,0.614748
105,59,0.4987035,0.5155455,0.504102,0.537298,0.6157785
106,59,0.498356,0.5155415,0.5039435,0.5373265,0.6164645
107,60,0.4989185,0.5155485,0.5046995,0.537704,0.6174125
108,59,0.498921,0.5160235,0.5037735,0.537627,0.618607
109,59,0.4982495,0.516198,0.5046085,0.537328,0.6194285
110,60,0.4984265,0.5158365,0.5046955,0.536917,0.6199135
111,59,0.498926,0.51573,0.50465,0.537304,0.6212735
112,60,0.4987125,0.5160125,0.5051705,0.537664,0.621882
113,61,0.499902,0.5164585,0.505095,0.5386025,0.6221675
114,59,0.5007005,0.517098,0.505277,0.538546,0.6232285
115,60,0.501346,0.5175315,0.504456,0.539681,0.6239895
116,60,0.5008,0.5179665,0.5048235,0.5391895,0.625097
117,62,0.500051,0.5184025,0.5054305,0.5387625,0.6261835
118,61,0.500774,0.518465,0.505062,0.538778,0.627846
119,60,0.5008125,0.5189105,0.504783,0.5377385,0.6297925
120,60,0.5002465,0.519262,0.504593,0.5371575,0.631072
121,61,0.5005325,0.5195435,0.503532,0.5365055,0.633376
122,61,0.5005815,0.51939,0.503853,0.5363675,0.6342625
123,61,0.5003005,0.5199795,0.503724,0.5361875,0.635058
124,62,0.50108,0.5198685,0.5024955,0.534921,0.6381435
125,60,0.50137,0.5202125,0.5024865,0.534299,0.6393535
126,63,0.5007445,0.5203525,0.501873,0.533211,0.6409235
127,60,0.5010495,0.520642,0.500768,0.5316265,0.643297
128,60,0.502163,0.5206905,0.499817,0.531229,0.644659
129,58,0.502244,0.5198975,0.4995975,0.530463,0.6463945
130,60,0.50252,0.519577,0.4991355,0.5297495,0.648234
131,60,0.5028035,0.5193385,0.498527,0.529003,0.649444
132,59,0.5038545,0.519198,0.498252,0.5283175,0.650398
133,56,0.5037315,0.519251,0.497727,0.5277195,0.6521105
134,57,0.5039825,0.519297,0.497654,0.5273785,0.652816
135,57,0.5040485,0.5193115,0.4976925,0.526825,0.6536505
136,57,0.5042175,0.519268,0.497903,0.5271085,0.65408
137,58,0.504496,0.5195055,0.497499,0.52707,0.654566
138,61,0.5041625,0.5196435,0.4971795,0.5266015,0.6547485
139,56,0.5045025,0.5198255,0.496849,0.527025,0.6553495
140,59,0.5044135,0.5200955,0.4964575,0.526701,0.655954
141,57,0.504093,0.5206975,0.4964365,0.5263005,0.6568695
142,57,0.505003,0.52021,0.4960545,0.5268085,0.6574035
143,56,0.5051815,0.5201065,0.495887,0.526442,0.658607
144,59,0.5056315,0.5207075,0.4953415,0.5272115,0.659313
145,60,0.505332,0.520965,0.4950405,0.527475,0.660175
146,59,0.5054045,0.5209205,0.4945125,0.5276015,0.661566
147,61,0.5052875,0.5210915,0.4943355,0.528809,0.662561
148,61,0.504853,0.521105,0.4945,0.5291415,0.6631865
149,62,0.504995,0.5215795,0.4938595,0.529652,0.6649175
150,59,0.5056885,0.522108,0.4932385,0.529681,0.6677435
151,63,0.5063525,0.5226075,0.49276,0.5294375,0.6702485
152,64,0.5062415,0.5229295,0.4924075,0.529871,0.6718715
153,62,0.506187,0.5237405,0.491902,0.5291555,0.6753475
154,62,0.505962,0.524096,0.4911705,0.5295055,0.6780915
155,62,0.5062745,0.5251455,0.4907165,0.5291175,0.681748
156,60,0.5064855,0.525648,0.4906215,0.52858,0.6839445
157,59,0.5068385,0.5262925,0.4906645,0.5285335,0.686717
158,62,0.506879,0.52722,0.4910245,0.528321,0.687825
159,60,0.507285,0.5276425,0.4903265,0.527794,0.6906645
160,58,0.507086,0.5283705,0.490316,0.5283165,0.6919155
161,58,0.5079445,0.528807,0.4899085,0.527952,0.6929575
162,60,0.5081445,0.5287105,0.4896135,0.527723,0.6939125
163,59,0.509153,0.528617,0.489257,0.527113,0.695367
164,64,0.509812,0.528931,0.4894685,0.527366,0.6962845
165,59,0.5108185,0.5293925,0.4900115,0.526956,0.6984785
166,60,0.5115265,0.5295385,0.490222,0.5263635,0.6984315
167,60,0.5121215,0.5300895,0.4904405,0.5261935,0.698618
168,61,0.5125825,0.5306055,0.490866,0.5266135,0.699296
169,59,0.513107,0.530187,0.490893,0.52659,0.7002615
170,59,0.513408,0.530489,0.4912505,0.526106,0.7015905
171,59,0.513325,0.530847,0.4913225,0.525557,0.7025035
172,58,0.5138055,0.531739,0.491895,0.5253255,0.7034745
173,60,0.514262,0.5323515,0.492368,0.5257225,0.704725
174,58,0.5144655,0.5330825,0.4925995,0.525502,0.705239
175,57,0.5142155,0.534028,0.4928065,0.5250585,0.7059435
176,59,0.5147165,0.5348785,0.4935915,0.524957,0.706551
177,61,0.5146065,0.5352445,0.494437,0.5250395,0.7079505
178,59,0.51512,0.5359205,0.4946705,0.525233,0.7089075
179,62,0.5150475,0.5367845,0.495602,0.526191,0.7100575
180,58,0.514878,0.537048,0.4962495,0.526347,0.7113415
181,58,0.5150735,0.537453,0.496603,0.526446,0.711675
182,58,0.5152115,0.5382135,0.4970315,0.5270495,0.7124075
183,60,0.515059,0.538926,0.4971235,0.52717,0.7131105
184,61,0.5151385,0.5394895,0.497882,0.527346,0.7139165
185,61,0.5150495,0.5404355,0.498382,0.5280885,0.7148725
186,63,0.5145355,0.541565,0.499217,0.527808,0.7162105
187,59,0.514481,0.542125,0.4999185,0.5276205,0.717112
188,60,0.5142355,0.5421375,0.500119,0.5277635,0.717778
189,62,0.5139625,0.542529,0.4999585,0.528456,0.7183775
190,59,0.513801,0.542272,0.499738,0.528836,0.719556
191,62,0.5133235,0.5427175,0.4990305,0.529172,0.720101
192,63,0.5131365,0.5421475,0.499117,0.5293155,0.7214815
193,61,0.5138815,0.541936,0.4983035,0.529202,0.7227955
194,60,0.5139335,0.541855,0.497677,0.5296145,0.7235025
195,61,0.5135645,0.541662,0.4975055,0.5301075,0.7242655
196,63,0.513483,0.5419865,0.497695,0.5306655,0.726158
197,62,0.513264,0.542175,0.4979325,0.530626,0.7274025
198,61,0.513713,0.5421075,0.4975065,0.530167,0.72942
199,59,0.5128525,0.542291,0.4968115,0.530117,0.731052
200,62,0.51341,0.5430095,0.496452,0.530498,0.73174
201,61,0.512514,0.5430305,0.49619,0.530742,0.73341
202,62,0.5124075,0.543219,0.495897,0.5311185,0.7344765
203,60,0.5128015,0.5432105,0.495838,0.530622,0.737601
204,61,0.5127565,0.5438825,0.49585,0.5309535,0.7386505
205,61,0.5120555,0.543923,0.4962635,0.5311495,0.739857
206,61,0.5115435,0.543875,0.4965325,0.5312225,0.740041
207,60,0.511566,0.543879,0.496029,0.5301845,0.741678
208,63,0.5118365,0.5435635,0.495987,0.5306155,0.742746
209,61,0.5116305,0.54336,0.496168,0.530185,0.743842
210,59,0.510736,0.5433995,0.495989,0.5295725,0.7449435
211,59,0.51066,0.5436425,0.495408,0.5295655,0.7460895
212,58,0.510368,0.5443145,0.49575,0.5290665,0.747035
213,61,0.5104195,0.5446195,0.495626,0.528989,0.747558
214,57,0.510303,0.545047,0.4958175,0.5288755,0.7489525
215,60,0.510122,0.5450975,0.496321,0.528637,0.7497165
216,60,0.510694,0.545263,0.495934,0.5284625,0.7502505
217,58,0.5112595,0.545435,0.495809,0.5285175,0.750951
218,57,0.511347,0.546398,0.494974,0.5288745,0.7513195
219,58,0.5110795,0.54655,0.49466,0.528689,0.7512735
220,57,0.510979,0.546877,0.4952165,0.5282815,0.751669
221,58,0.5108345,0.546816,0.494657,0.5286395,0.752215
222,61,0.511214,0.547178,0.494158,0.528891,0.752455
223,60,0.511724,0.5470685,0.4943795,0.5292255,0.753333
224,59,0.5122445,0.547123,0.49465,0.529412,0.7536545
225,58,0.512624,0.5467705,0.494883,0.529247,0.754368
226,63,0.512762,0.5471795,0.4952135,0.5294735,0.755142
227,63,0.513192,0.547549,0.4948615,0.5297225,0.756697
228,61,0.5136935,0.5468795,0.494694,0.5306795,0.7579265
229,62,0.5140825,0.5475425,0.4945185,0.5313845,0.7594535
230,62,0.5148365,0.547426,0.4948545,0.5313335,0.7611355
231,64,0.5144905,0.548075,0.493247,0.531291,0.763325
232,64,0.514589,0.5481435,0.492495,0.531818,0.765315
233,63,0.5144065,0.54824,0.4917735,0.5320175,0.767503
234,61,0.5143045,0.548514,0.4905775,0.5321495,0.769494
235,62,0.5147925,0.548056,0.4904015,0.5325755,0.771142
236,64,0.515148,0.5479505,0.4900475,0.533071,0.7730685
237,65,0.515032,0.548291,0.488198,0.5338145,0.775345
238,63,0.514169,0.5487245,0.487004,0.5342925,0.7762755
239,64,0.513841,0.5483865,0.4855455,0.5347635,0.7784755
240,62,0.513898,0.548355,0.4852285,0.5352,0.780305
241,61,0.513289,0.5483775,0.4844815,0.535719,0.781804
242,65,0.5128205,0.5487245,0.4832155,0.5354915,0.782476
243,63,0.5123,0.5485535,0.483055,0.535517,0.7838155
